ind,GEO,LON,LAT,Source,Cluster1,Cluster2,Cluster3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,filt_Cluster1,filt_Cluster2,filt_PC1,filt_PC2,filt_PC3,filt_PC4,filt_PC5,filt_PC6,filt_PC7,filt_PC8,filt_PC9,filt_PC10,filt_PC11,filt_PC12,filt_PC13,filt_PC14,filt_PC15,filt_PC16,filt_PC17,filt_PC18,filt_PC19,filt_PC20,wc2.1_2.5m_bio_1,wc2.1_2.5m_bio_12
GVIT_1587,Unknown,NA,NA,Conserved,7e-6,0.360548,0.639445,0.0735057,-0.0354261,0.304826,0.0215815,-0.421621,0.141827,-0.0701383,0.0157138,-0.01038399999999999,0.00692419,0.00871378,0.00147067,-9.65413e-4,-0.00910689,0.00499925,-0.0316276,-0.0232523,0.0145936,0.0436683,-0.0130779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
078_2,Connecticut,-73.3188,41.65871,Wild,0.479359,0.454939,0.065701,0.0407315,-0.0602446,0.029042,-0.130337,0.0382841,-0.0617163,0.0187895,0.01083,-0.0549866,-0.177387,0.250011,0.231619,-0.060615,-0.0274168,0.088353,-0.0255188,-0.00572307,-0.00212351,0.0564402,-0.116285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.897167205810547,1212
078_1,Connecticut,-73.3188,41.65871,Wild,0.999987,7e-6,6e-6,0.0888059,-0.129009,-0.0348245,-0.276321,-0.0309035,-0.105626,0.0439206,-0.0160684,-0.128945,-0.393263,0.490869,0.455887,-0.0864838,0.00265288,0.0903906,-0.0797527,-0.0231739,-0.0347736,0.0582676,-0.026274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.897167205810547,1212
032_2,Virginia,-80.99387,36.64099,Wild,6e-6,0.999988,5e-6,-0.0293049,0.00975808,-0.0103093,0.0171744,-0.00420833,-6.451e-4,-0.0021007,-0.0130352,0.0218791,-0.00321918,-2.01882e-5,-0.0011972,5.4342e-4,0.00844197,0.0300479,0.00692069,9.57229e-5,-3.77909e-4,0.00599168,-0.00515484,0.301529,0.698471,-0.0283985,0.0243798,-0.0129435,-0.00599817,0.0107708,-0.018123,0.0243118,-0.00873522,-0.0160677,-0.00890128,0.00508574,-0.00729903,-0.0351704,0.0408649,0.00358445,0.0355238,0.0517776,0.0258649,-0.0156706,0.0433408,11.243499755859377,1105
030_1,North Carolina,-81.25607,36.39142,Wild,6e-6,0.999989,5e-6,-0.0304553,0.0107314,-0.0128765,0.0188136,-0.0103889,-0.00637552,-0.00349964,-0.00936124,0.0422488,0.00538712,-0.00883043,0.0233469,0.00560515,0.0222828,0.0777619,0.0441729,-0.0143279,0.00459463,0.00513761,-0.0152996,2.17e-4,0.999783,-0.0431636,0.109093,-0.00284829,-0.00798615,-0.0102,-0.0954113,0.0102958,0.00996995,-0.288386,-0.197847,0.133892,0.0438836,0.0887007,0.0404277,0.0215577,-0.237739,-0.161618,0.0305223,-0.0254658,-0.0428636,10.625499725341797,1353
594349,Unknown,NA,NA,Conserved,7e-6,0.3619,0.638094,0.0729552,-0.0345776,0.302811,0.0186598,-0.424477,0.148939,-0.071099,0.0160851,-0.0105036,0.00917721,0.00622675,-3.92564e-4,0.00175136,-0.00844501,0.0096313,-0.0332951,-0.0239393,0.0130975,0.0416222,-0.011866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
028_10,North Carolina,-81.26196,36.38859,Wild,7e-6,0.999987,6e-6,-0.0270659,0.00925717,-0.0122765,0.0132102,-0.00458622,0.00297929,-7.06674e-5,-0.0129039,0.0394686,0.0196279,-0.00482136,0.0118216,4.12388e-4,0.008578,0.0580496,0.0401415,-0.0122956,-0.00766298,-0.0108352,-0.00535386,1.55e-4,0.999845,-0.0422579,0.0734634,-0.0266456,-0.0140651,0.0034245,-0.0631678,0.0183122,-0.0297625,-0.0970783,-0.0445685,0.0155957,0.00247347,-0.0208708,0.0320445,-0.0860711,0.189158,0.0882356,-0.144561,0.0372569,-0.00697905,10.625499725341797,1353
028_11,North Carolina,-81.26196,36.38859,Wild,6e-6,0.999988,5e-6,-0.0290298,0.00800185,-0.0123362,0.0140305,-0.00987742,-0.00263041,9.68314e-4,-0.0115356,0.0444158,0.0103989,-0.0091779,0.014033,0.00283827,0.0138359,0.0688786,0.0554066,-0.00852743,1.66378e-4,-0.00685689,-0.0126614,1.02e-4,0.999898,-0.0531809,0.0838076,-0.0294532,-0.0165016,-7.68982e-4,-0.0807074,0.0133736,-0.0379862,-0.125549,-0.0428615,0.016977,-0.00298159,-0.0312989,0.0311938,-0.087681,0.233942,0.102223,-0.193214,0.0551774,-0.0083427,10.625499725341797,1353
042_6,Virginia,-80.38786,36.7951,Wild,0.255742,0.744252,6e-6,2.4374e-4,-0.0309212,-0.0186118,-0.0543404,-0.00638887,-0.0101318,0.00208218,0.00230694,0.0423148,-0.0350309,7.03624e-4,-0.0425668,-0.0188019,-0.0204924,-0.042399,0.00242644,-0.00267302,-0.0723814,-0.00875037,0.163799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.258333206176758,1163
042_1,Virginia,-80.38786,36.7951,Wild,0.388307,0.611687,6e-6,0.0148158,-0.0480993,-0.0152139,-0.0975568,0.00220314,-0.00569912,-0.00463607,-0.0273663,0.0557222,-0.0149571,-0.0025847,-0.0689624,-0.0264765,-0.0499099,-0.0354034,0.00603713,-0.00162174,-0.132665,-0.0468531,0.223352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.258333206176758,1163
